N (kg/ha),P (kg/ha),K (kg/ha),Fertilizer A (kg/ha),Fertilizer B (kg/ha),Crop Yield (tons/ha),Soil Type,"Climate (Temp °C, Rainfall mm)"
32.38,48.25,67.71,81.12,59.63,4.82,Silty Clay,"(30.26709456462324, 128.86154407739204)"
61.63,16.85,25.46,83.39,87.16,7.12,Sandy Clay Loam,"(23.491234375808283, 187.91088160691822)"
58.54,29.84,55.82,115.55,90.97,7.2,Loam,"(30.946378197915795, 320.8211508290939)"
51.43,47.38,47.8,57.22,48.07,7.91,Silty Clay,"(18.955685455518356, 184.91758952240906)"
33.18,49.62,52.1,60.79,57.09,5.02,Silty Clay,"(26.12928854446596, 156.19087242139753)"
51.94,19.81,66.45,77.18,29.33,5.88,Sandy Clay Loam,"(23.491899894046995, 345.1436775328218)"
45.86,22.76,56.21,67.3,90.74,7.0,Clayey Loam,"(22.48753584101706, 477.34558180829583)"
49.62,42.89,39.06,130.88,96.58,4.45,Sandy Clay Loam,"(18.685008444126574, 467.55970894414116)"
31.87,49.6,50.11,70.1,50.41,8.32,Silty Clay,"(28.552123193655127, 278.9912155193733)"
42.75,15.18,37.83,54.83,77.21,7.78,Sandy Clay Loam,"(24.250450563718864, 133.11494756170976)"
34.03,31.26,33.33,55.12,71.41,7.44,Sandy,"(23.571275820493636, 396.8081148985829)"
39.44,30.79,39.5,66.86,53.58,8.03,Silty Clay,"(15.819591172959504, 485.2734195970277)"
30.9,32.29,56.94,136.51,67.41,7.35,Silty Clay Loam,"(28.4105811952156, 264.74770367828665)"
54.21,24.26,72.33,98.07,49.2,7.16,Loam,"(17.441674239705122, 257.77023097014614)"
64.97,37.04,37.72,146.8,76.53,5.76,Silty Clay,"(25.07635054372641, 388.19877897499515)"
47.17,29.54,29.61,87.66,63.25,5.22,Silty Clay Loam,"(24.50070067720199, 340.064397302218)"
65.87,19.09,54.91,144.08,71.02,6.32,Sandy Clay Loam,"(27.144254238664388, 177.00796405092484)"
56.31,28.4,41.84,86.03,24.4,4.72,Clayey Loam,"(18.20980127760991, 449.4049088355666)"
35.76,49.84,74.95,58.01,27.31,5.66,Loam,"(29.75938093567126, 302.3826776432462)"
50.34,29.58,62.98,45.12,22.14,7.02,Sandy Clay Loam,"(29.241946198359337, 363.2044758489857)"
54.99,44.66,64.27,134.92,67.78,4.15,Sandy Clay Loam,"(24.190195447231503, 232.22008777803177)"
54.92,15.71,57.8,94.9,23.34,5.8,Sandy,"(31.873530333669482, 484.80761169033184)"
55.75,20.21,34.57,46.61,99.08,6.17,Sandy,"(28.725455060722176, 167.93926829853598)"
43.76,46.44,54.51,116.98,59.24,4.88,Sandy Loam,"(26.316523712063436, 283.8271347512731)"
42.39,47.3,32.55,76.08,26.67,7.54,Loam,"(22.947036174602964, 195.13980347058288)"
48.27,37.15,68.96,71.4,92.55,4.76,Sandy Loam,"(21.933584889004315, 198.48409328575545)"
62.66,40.87,65.92,56.05,75.7,6.04,Loam,"(20.26464371914726, 245.86680596319582)"
33.63,49.47,41.29,102.47,94.89,5.93,Silty Clay,"(22.99256671451895, 173.69018523674978)"
30.59,45.12,60.38,55.78,91.93,6.33,Sandy Loam,"(20.007905582848196, 153.61633098871718)"
45.83,34.06,27.5,149.88,39.96,7.38,Loam,"(19.631613260684723, 143.87576856457082)"
69.95,30.22,32.59,75.98,95.14,6.64,Silty Clay,"(31.877805877983207, 385.06942324687833)"
33.36,44.61,45.36,109.9,25.84,5.47,Clayey Loam,"(18.571186136145187, 270.9093923183457)"
30.83,18.46,56.26,45.67,71.58,4.02,Silty Clay Loam,"(18.947368000362484, 331.6836570383231)"
52.16,31.63,30.98,70.34,50.32,6.17,Clayey Loam,"(17.227023361133874, 359.62795112396907)"
50.42,30.87,46.07,87.68,79.39,6.83,Silty Clay Loam,"(15.961546153976172, 473.49641209181215)"
69.88,19.22,63.22,63.45,96.39,4.43,Silty Clay Loam,"(24.082941059770434, 391.7328785220226)"
69.45,42.5,34.73,76.86,69.17,7.43,Loam,"(24.526574914036942, 478.82913597735813)"
37.0,30.93,52.69,107.04,39.95,4.79,Sandy,"(17.151948558022738, 395.2360200056703)"
41.35,17.36,66.67,91.89,80.55,6.23,Sandy Clay Loam,"(21.013933581717954, 285.5846641413565)"
60.43,48.4,35.91,52.82,52.54,8.34,Clayey Loam,"(20.561686109793182, 382.6169812564908)"
49.79,45.94,45.66,136.85,42.56,5.49,Sandy Clay Loam,"(15.81165112174384, 496.3055838250727)"
31.85,47.03,65.09,139.29,38.65,6.52,Loam,"(28.787748208317318, 405.41015334423633)"
58.14,43.13,64.87,54.67,96.22,5.96,Silty Clay,"(24.937219966097473, 417.4062278428082)"
52.76,42.95,56.56,52.59,67.73,5.87,Silty Clay,"(24.904134858111533, 406.6777454293132)"
59.99,24.35,54.72,42.52,57.75,5.84,Silty Clay,"(20.873736797013873, 210.815336170156)"
49.98,24.24,71.82,113.17,75.25,6.22,Silty Clay Loam,"(21.88896765724241, 239.30799010204856)"
54.07,26.33,46.38,58.73,74.34,7.16,Silty Clay Loam,"(27.54552404011511, 158.99062963225657)"
53.93,17.71,44.62,148.32,96.56,6.83,Sandy Loam,"(30.262202192088175, 172.78897108356796)"
42.06,41.4,58.49,104.71,55.19,8.04,Sandy Loam,"(28.24038899828341, 222.39956484810213)"
38.44,26.29,57.48,67.9,46.3,6.76,Sandy Loam,"(28.996510178941122, 280.941816661302)"
35.57,20.15,54.95,41.58,94.98,6.87,Silty Clay,"(25.72751396292687, 181.04139911528918)"
64.31,38.2,43.97,62.18,73.74,8.44,Clayey Loam,"(15.045767703586472, 419.89200472757807)"
69.37,39.28,60.02,64.61,44.31,7.65,Sandy Loam,"(19.55305454199822, 327.4250898372558)"
38.98,45.07,29.88,118.97,75.1,7.41,Silty Clay Loam,"(29.054556763252222, 300.9830540913232)"
53.13,16.1,71.39,66.59,30.56,4.44,Sandy Loam,"(30.440184389657475, 354.272198124153)"
47.33,27.82,71.17,60.17,84.93,4.01,Sandy Clay Loam,"(15.475498906780999, 225.56280758360896)"
36.54,49.35,31.48,81.91,73.76,6.68,Sandy Clay Loam,"(16.289695259517, 462.0829541730274)"
46.66,29.51,50.27,64.92,73.81,4.14,Silty Clay Loam,"(28.283825426133934, 167.80140972155468)"
63.04,17.58,55.05,78.03,86.88,7.74,Sandy,"(30.153823227946, 191.46150358135233)"
32.03,15.15,33.19,86.67,28.78,4.42,Silty Clay,"(17.99406680472359, 426.17246668456846)"
52.07,34.38,34.67,110.09,53.65,6.01,Silty Clay,"(18.4382748745285, 187.5137350242922)"
32.09,17.91,46.34,120.94,74.83,6.09,Sandy,"(26.433780364707644, 461.5406049272523)"
62.68,30.67,52.68,60.87,63.66,7.84,Sandy Loam,"(20.421711222510243, 137.2102938345078)"
65.56,33.52,65.65,62.11,88.21,8.06,Sandy,"(30.836848437900905, 204.63002686506877)"
57.06,42.27,73.0,56.37,40.53,4.86,Silty Clay Loam,"(31.362074172119176, 385.5131349430034)"
43.41,23.03,43.85,114.62,43.56,5.82,Sandy,"(24.85100972606596, 230.1571497721814)"
56.24,32.84,38.81,90.56,75.36,4.35,Sandy Clay Loam,"(25.944226940854463, 440.1128836996252)"
31.75,44.28,50.78,131.22,70.6,7.24,Sandy,"(29.375236344869144, 448.55963021169674)"
67.87,39.24,41.81,118.35,75.21,4.04,Silty Clay,"(19.614168172304556, 476.96194268818795)"
40.1,39.91,40.69,124.21,84.8,8.3,Sandy Loam,"(25.743198470901195, 264.8454695986973)"
60.95,25.41,37.33,62.5,88.42,7.24,Silty Clay Loam,"(18.103009591007414, 194.1710119318589)"
58.31,34.4,36.88,75.26,38.89,4.03,Sandy Clay Loam,"(22.364391362964668, 444.04645086400853)"
53.9,43.76,69.6,113.67,90.18,4.41,Sandy,"(27.290578862079347, 386.7055354911844)"
42.44,27.3,61.7,149.55,57.76,7.93,Silty Clay Loam,"(15.570174380969732, 382.1627313067692)"
31.03,18.29,66.93,47.12,26.49,4.91,Silty Clay Loam,"(20.75327928038294, 491.98254150498786)"
65.45,27.45,39.41,139.62,26.7,7.06,Sandy Loam,"(22.461367713667737, 275.1239148541856)"
48.14,44.81,67.09,74.7,66.41,6.67,Sandy Clay Loam,"(21.995003653327615, 141.88038828540493)"
48.76,25.15,30.51,149.98,80.43,4.34,Sandy Loam,"(26.523736908582745, 312.0447142962871)"
62.65,40.14,27.02,86.58,64.24,4.5,Sandy Loam,"(25.677072854027728, 327.6240823660945)"
62.16,35.3,28.1,80.81,77.25,8.49,Silty Clay,"(25.21206397949075, 276.78897211429563)"
36.13,18.23,60.65,132.28,57.17,7.79,Loam,"(21.517739148669097, 194.18872747931277)"
38.28,34.07,40.94,72.23,33.89,8.05,Sandy Loam,"(30.410028641408232, 123.15401772703542)"
